secret:secrets,confidential,hidden,spy,revealing,hiding,hide,mystery,reveal
cooperation:collaboration,cooperate,coordination,partnership,cooperative,bilateral,ties,relations,dialogue,mutual
auto:automobile,automotive,automakers,automaker,car,motorcycle
profits:profit,earnings,revenues,revenue,profitability,profitable,quarterly,margins,income,gains
minority:minorities,majority,ethnic,blacks,diversity,immigrant,representation,stake
energy:electricity,solar,gas,fuel,power,efficiency,coal
complications:problems,illness,infection,infections,surgery,risks,difficulties,diagnosed,diseases
deficit:deficits,surplus,shortfall,budget,gap,spending,borrowing,debt,expenditure
radiation:contamination,reactor,cancer,nuclear,contaminated,oxygen,toxic,sun,chemical
stable:stability,steady,robust,healthy,stabilize,consistent,strong,reliable,solid,safe
jersey:shirt,shirts,uniform,uniforms,helmet,hat,jacket,flag
exposure:exposed,risk,concentration,presence,visibility,effects,toxic,coverage,access,impact
unrelated:related,separate,stemming,involving,unaware,unusual,identical,linked,isolated,relating
helping:assisting,helped,help,helps,trying,enabling,attempting,providing,able,supporting
spring:summer,winter,autumn,week,fall,season,month,weekend
indeed:surely,certainly,truly,quite,undoubtedly,even,perhaps,that,actually,however
projected:projections,expected,predicted,estimates,forecast,estimated,anticipated,estimate,expects,predicts
vast:enormous,huge,massive,large,considerable,substantial,tremendous,extensive,significant,broad
stations:station,outlets,cities,radio,airports,sites,shops,pumps,locations
municipalities:municipal,towns,districts,councils,counties,cities,governments,communities,provinces,departments
cooling:heating,cool,temperature,heat,temperatures,steam,reactor,oxygen,electrical,heated
elections:election,electoral,polls,primaries,referendum,vote,presidential,polling,democratic
marketing:advertising,promotional,promotions,brand,sales,product,executive
venues:venue,concerts,cities,places,locations,clubs,stadium,facilities,sites,events
facts:truth,conclusions,evidence,statistics,findings,arguments,answers,opinions,observations,statements
pages:page,websites,articles,text,copies,printed,books,blogs,sites,publications
tensions:tension,unrest,turmoil,anxiety,conflicts,disputes,fears,clashes,conflict,tense
enough:sufficient,too,not,able,so,needed,could,did,but,quite
giving:give,gave,gives,given,providing,handing,allowing,letting,offering
effects:impacts,effect,impact,consequences,implications,adverse,dangers,risks,harmful,effectiveness
beauty:beautiful,lovely,natural,fashion,nature,makeup,sexy,landscape,romance,grace
rolls:roll,rolled,rolling,drops,turns,goes,reaches,kicks,gets,tops
unidentified:allegedly,anonymous,unknown,reportedly,suspected,identified,alleged,deceased,dead,investigators
stemming:stem,resulting,related,resulted,involving,unrelated,ranging,triggered,due,amid
sold:purchased,bought,sell,selling,sale,sells,shipped,buy,buys,priced
totally:completely,entirely,basically,absolutely,somewhat,essentially,practically,seemingly,largely,really
basement:garage,kitchen,bathroom,room,bedroom,apartment,house,floors,hall,floor
lawmakers:legislators,senators,legislature,legislative,lawmaker
anticipated:expected,projected,planned,predicted,expecting,expect,anticipate,anticipation,likely,expects
escaped:escape,fled,rescued,survived,suffered,fleeing,freed,flee,chased,avoided
looming:imminent,facing,approaching,horizon,faces,mounting,faced,upcoming,face,preparing
insurgents:militants,insurgency,rebels,extremists,terrorists,militant,forces
because:but,so,anyway,obviously,due,although,unfortunately,not,partly
enable:enabling,enables,allow,enabled,allows,facilitate,ensures,enhance,provide,help
pharmaceutical:biotechnology,medicines,healthcare,drug,pharmacy,generic,clinical
analysis:analyzes,assessment,evaluation,analyzed,summary,research,study,assessments,analyze
murder:murders,slaying,homicide,killings,murdered,kidnapping,rape,death,stabbing,killing
medical:doctors,physician,physicians,dental,medicine,doctor,hospital,health,healthcare
agreement:agreements,accord,pact,deal,arrangement,contract,negotiated,partnership,negotiations
rebounds:assists,steals,points,rebounding,layup,scored
bone:bones,tissue,muscle,hip,skin,leg,teeth,shoulder,ankle,knee
bond:bonds,bail,debt,borrowing,fund,borrow,warrant,funds
saw:noticed,witnessed,seeing,looked,came,watched,seen,showed,went,see
stating:stated,saying,indicating,declaring,explaining,suggesting,claiming,insisting,indicated,expressing
looked:seemed,looks,look,felt,thought,saw,appeared,sounded,looking,knew
changes:change,adjustments,improvements,changing,adjustment,reductions,overhaul,additions,alter,shift
notification:notify,notified,notices,notice,alerts,alert,payment,inform,communication,confirmation
trees:tree,forests,gardens,flowers,grass,forest,garden,plants,wood,crops
scientists:researchers,scientist,scientific,experts,engineers,science,research,professors
say:believe,argue,know,tell,insist,think,suggest,complain,saying,contend
cities:towns,regions,city,municipalities,neighborhoods,suburbs,metro,communities,airports,places
sad:unfortunate,sorry,tragic,horrible,shame,shocking,terrible,happy,disappointed,frustrating
slated:scheduled,expected,planned,sometime,supposed,ready,postponed,preparing,will,plans
militants:militant,insurgents,extremists,rebels,gunmen,terrorists,insurgency
releasing:release,released,releases,distributing,issuing,leaked,revealing,publish,introducing,launching
vibrant:dynamic,beautiful,bright,diverse,colorful,wonderful,robust,welcoming,arts,exciting
suggest:indicate,suggesting,suggests,suggested,indicated,indicates,say,argue,believe,indicating
determine:determining,assess,evaluate,decide,examine,determined,unclear,analyze,verify,identify
fragile:shaky,vulnerable,weak,battered,troubled,weakened,volatile,stability,strained,shattered
distinction:difference,recognition,significance,distinguished,honor,honors,choice,comparison,feat,recognizes
changed:changing,change,alter,shifted,reversed,switched,different,changes,evolved,revised
sovereignty:constitutional,democratic,independence,democracy,constitution,treaty,unity,peace,freedom
obtain:obtaining,obtained,provide,receive,collect,arrange,secure,get,locate,find
increased:decreased,increasing,increase,decrease,reduced,risen,improved,higher,increases,greater
explore:exploring,examine,discuss,discover,evaluate,develop,investigate,pursue,consider,learn
expenditure:expenditures,spending,budgets,expenses,budget,allocation,costs,consumption,allocated
lie:lies,lying,lay,sit,ignore,truth,stand,exist,hide,go
seeing:see,saw,experiencing,watching,looking,seen,showing,realizing,expecting,going
packed:filled,loaded,crowded,lined,gathered,crowd,assembled,empty,plenty,greeted
blaze:fire,flames,fires,firefighters,explosion,burns,burned,evacuated
go:come,goes,gone,going,get,went,do,sit,stay
tribal:tribe,indigenous,reservation,ethnic,religious,villagers,militia,villages
success:successes,successful,achievements,achievement,accomplishments,progress,popularity,triumph,enthusiasm,consistency
checked:checking,check,examined,monitored,searched,evaluated,reviewed,noticed,checks,cleaned
regarded:considered,viewed,known,described,labeled,perceived,hailed,deemed,recognized,portrayed
bullet:gun,shot,wounds,weapon,knife,ammunition,gunman,chest,firing,blast
decreased:increased,decrease,reduced,compared,increase,rose,increasing,risen,totaled,decline
regulations:rules,laws,guidelines,regulation,requirements,restrictions,standards,legislation,policies,law
acting:acted,act,directing,nominated,actor,actors,deputy,singing,roles,doing
setting:set,sets,establishing,creating,breaking,putting,stepping,keeping,turning
dismiss:dismissed,dismissal,reject,deny,rejected,ignore,denied,appoint,settle,sue
bigger:larger,smaller,big,greater,huge,better,stronger,wider,quicker,tougher
interaction:interact,communication,collaboration,dialogue,conversations,relationships,communicate,engagement,coordination,conversation
operating:operational,operate,operations,operated,operation,operates,profitability,revenue
support:supporting,supported,backing,supports,assistance,supportive,help,sympathy,benefit
inmates:prisoners,inmate,prisons,detainees,prisoner,prison,offenders,jail,parole,detention
valuable:useful,important,vital,precious,helpful,crucial,beneficial,productive,critical,importantly
adds:added,adding,brings,says,explains,add,gives,creates,sees,puts
classes:courses,class,semester,students,workshops,grades,teaching,classrooms,instruction,school
abusive:abuse,inappropriate,abused,racist,harassment,violent,angry,behavior,abuses,hostile
opponents:opponent,opposition,supporters,opposing,rivals,critics,defenders,defenses,against
drunk:drinking,drink,alcohol,drinks,raped,beer,speeding,stupid,mad,driving
oversees:oversee,overseeing,manages,handles,operates,owns,director,coordinator,serves,supports
reducing:reduce,lowering,reduces,eliminating,increasing,reduced,reduction,limiting,boosting,minimize
explains:explained,says,describes,explaining,argues,writes,tells,adds,noted,reveals
showing:showed,shown,shows,show,demonstrating,indicating,seeing,indicates,displayed,demonstrate
drag:dragged,slide,drop,pull,push,sink,climb,squeeze,sliding,plunge
according:reported,citing,cited,noted,says,indicated,told,said,suggests
slain:murdered,slaying,killed,dead,killings,kidnapped,abducted,killing,murder,murders
studied:studying,analyzed,examined,taught,study,studies,professor,examining,teaches,evaluated
likely:unlikely,expected,may,probably,might,could,predicted,will,tends,expect
heating:cooling,heat,electricity,energy,heated,electrical,lighting,temperatures,temperature,winter
turnaround:improvement,transformation,restructuring,recovery,revival,comeback,transition,rebound,surge,departure
temperature:temperatures,heat,degrees,cooling,cold,warm,sun,heating,speeds,oxygen
powered:fueled,equipped,built,driven,utilizing,supplied,hybrid,mounted,manufactured,loaded
conversations:conversation,discussions,interviews,chat,meetings,discussion,contacts,dialogue,talk,interaction
males:male,men,female,teenagers,adults,youths,teens,women,olds,boys
draw:drawing,draws,drawn,drew,attract,match,win,attracted,attracting,come
affair:romance,relationship,scandal,friendship,rivalry,conversation,encounter,intimate,romantic,confrontation
add:adds,bring,create,incorporate,expand,combine,provide,enhance,generate
inquiries:investigations,inquiry,requests,complaints,investigation,questions,calls,contacted,contact,emails
manufactured:manufacture,manufacturer,imported,shipped,supplied,manufacturing,sold,produced,constructed,manufacturers
ton:tons,tonne,tonnes,lot,pound,ounce,lots,pounds,load,grams
too:so,very,pretty,enough,quite,but,anyway,really
almost:nearly,practically,virtually,roughly,seemingly,just,every,completely
toe:ankle,knee,shoulder,elbow,hip,wrist,leg,hamstring,neck,nose
knowledge:expertise,understanding,experience,skills,insights,insight,experiences,wisdom,skill,abilities
manufacturer:maker,supplier,manufacturers,distributor,manufacture,manufactured,company,manufacturing,makers,provider
disappointment:frustration,regret,disappointing,shock,surprise,disappointed,anger,concern,setback,joy
ourselves:themselves,myself,us,we,yourself,them,our,itself,himself
teens:teenagers,teen,adults,kids,youths,olds,children,teenage,girls,parents
patients:patient,physicians,doctors,hospitals,nurses,clinical,medications,treatment,treatments
compiled:analyzed,collected,according,obtained,published,reviewed,released,tallied,statistics,lists
contacted:notified,approached,interviewed,alerted,asked,visited,told,contact,talked,spoken
personality:character,attitude,qualities,humor,passion,attributes,abilities,talents,feelings,style
distributor:distributors,supplier,manufacturer,provider,distribution,maker,retailer,subsidiary,producer
dedication:commitment,excellence,passion,dedicated,honored,determination,appreciation,accomplishments,honoring,courage
constituents:legislators,constituency,senators,residents,caucus,colleagues,taxpayers,voters,congressman,lawmakers
fabric:cotton,fiber,leather,clothing,plastic,clothes,colors,designs,pieces,furniture
motivation:motivated,reason,motive,desire,inspiration,incentive,passion,purpose,reasons,revenge
topics:topic,issues,subjects,themes,aspects,questions,matters,forums,issue,concepts
reviewed:review,reviewing,examined,evaluated,analyzed,submitted,investigated,discussed,monitored,examining
participate:participating,participated,attend,join,participation,engage,participant,involved,participants,attending
information:info,details,data,contact,updates,detailed,documents,confidential
contemporary:modern,art,classic,folk,jazz,genre,styles,artists,artistic
accepted:accept,accepting,rejected,submitted,offered,embraced,received,applied,endorsed,withdrawn
occasion:occasions,eve,birthday,anniversary,celebrations,celebration,celebrate,behalf,moment
recovering:recover,recovered,suffering,recovery,suffered,returning,sidelined,sustained,rebounded,suffers
headed:heading,flew,moved,sent,pushed,went,drove,brought,rode,turned
thrilled:delighted,excited,pleased,proud,glad,happy,grateful,impressed,disappointed,honored
calling:call,called,calls,urging,asking,ordering,requesting,urged,demanding
thinking:think,thought,talking,believing,wondering,maybe,guess,worrying,realizing,looking
designated:permitted,assigned,specified,allocated,reserved,named,chosen,labeled,selected,defined
policies:policy,laws,reforms,regulations,initiatives,strategies,procedures,practices,measures,rules
article:column,articles,editorial,story,blog,report,published,page,quote,journal
dark:gray,brown,bright,light,blue,white,red,colored,hiding,mysterious
pm:noon,am,midnight
celebrate:celebrating,celebrated,celebration,celebrates,celebrations,cheer,enjoy,showcase,anniversary
instantly:instant,easily,automatically,quickly,immediately,suddenly,when,then,whenever,simultaneously
borrow:borrowed,borrowing,lend,buy,repay,invest,debt,lending,sell,loans
relatives:family,friends,siblings,families,grandparents,mother,victims,deceased,uncle
horrible:terrible,awful,bad,scary,unfortunate,ugly,sad,unbelievable,stupid,weird
networking:wireless,connectivity,communications,computing,network,enterprise,telecommunications
crime:crimes,murders,criminals,homicide,violence,murder,killings,gangs,criminal,offenses
marched:march,rallied,gathered,walked,ran,drove,demonstrators,raced,moved,stood
marketplace:market,markets,industry,products,consumers,globally,business,innovation,pricing,consumer
detective:detectives,cop,investigator,police,cops,officers,prosecutor
warns:warned,urges,warn,predicts,says,cautioned,argues,suggests,recommends,sees
outstanding:exceptional,excellent,terrific,superb,impressive,stellar,extraordinary,incredible,excellence,fantastic
launched:launching,launches,launch,unveiled,initiated,introduced,dubbed,formed,announced,joined
former:ex,longtime,retired,ousted,veteran,fellow,formerly,assistant
discussion:discussions,debate,conversation,debates,forum,dialogue,conversations,discussing,topic,discussed
learn:teach,learned,learning,discover,understand,educate,know,taught,realize
compromise:accord,bipartisan,agreement,consensus,negotiations,negotiate,proposal,bill,resolution,deal
finest:best,greatest,renowned,hottest,toughest,superb,strongest,legendary,famous,wonderful
consistency:consistent,clarity,quality,transparency,accuracy,excellence,patience,solid,strength,discipline
considering:consider,exploring,considered,reviewing,proposing,considers,discussing,evaluating,looking,weighing
blessed:fortunate,thankful,wonderful,grateful,blessing,lucky,proud,beautiful,happy
launches:launch,launching,launched,unveiled,announces,introduce,enters,opens,flagship,introduction
criminal:prosecution,crimes,felony,crime,prosecutors,convictions,prosecutor,charges,misdemeanor,civil
anxiety:stress,tension,fear,anger,pain,uncertainty,frustration,panic,worries,confusion
solutions:solution,technologies,systems,innovative,automation,technology,provider,capabilities,products
doing:done,do,going,happening,talking,conducting,working,performing,really,getting
bail:bond,jailed,jail,custody,parole,arrest,sentencing,arrested,freed
rolling:rolled,roll,rolls,turning,moving,pulling,coming,pushing,putting,dropping
fault:blame,mistake,responsible,wrong,liable,mistakes,blamed,error,problem,responsibility
provinces:province,provincial,regions,municipalities,states,countries,cities,territories,districts,region
goes:comes,gets,go,happens,takes,puts,gone,stays,went,extends
surged:soared,rose,climbed,jumped,tumbled,plunged,surging,fell,dipped,risen
housed:located,constructed,built,operated,stored,occupied,facility,transferred,adjacent
wrist:ankle,knee,elbow,shoulder,hip,thumb,finger,neck,leg,hamstring
focus:focused,focusing,concentrate,emphasis,focuses,concentrated,emphasize,centered,priority
offensive:defensive,offense,defensively,scrimmage,defense,attack,defenses,attacking,quarterback,forwards
clinch:clinched,win,victory,beat,wins,won,triumph,defeated,defeat,finish
capitalize:exploit,advantage,leverage,seize,opportunities,utilize,maximize,convert,focus,generate
requests:request,requesting,requested,calls,inquiries,demands,complaints,appeals,orders
character:characters,personality,script,actor,comic,qualities,actors,movie,humor,guy
consists:consisting,comprised,includes,comprising,involves,contains,composed,combines,provides,covers
warrant:warrants,arrest,affidavit,arrested,permit,notice,bail,bond,felony
examined:analyzed,evaluated,examine,examining,reviewed,studied,investigated,checked,assessed,evaluate
appeals:appeal,appealed,appealing,arguments,requests,request,courts
serves:serve,served,serving,provides,operates,sits,consists,employs,represents,manages
server:servers,desktop,hardware,browser,software,bandwidth
editor:columnist,editors,publisher,writer,reporter,correspondent,journalist,editorial,writes
notice:notices,notification,notify,warning,notified,noticed,inform,permission,letter,warrant
collision:crash,accident,collided,wreck,crashes,incident,crashed,accidents,confrontation,clash
abducted:kidnapped,kidnapping,murdered,raped,hostage,slain,hostages,killed,detained,disappearance
factory:factories,plant,manufacturing,mill,warehouse,manufacturer,shop,plants,maker
you:your,yourself,we,somebody,do,me,maybe
argue:argued,arguing,contend,say,insist,believe,argues,argument,disagree,suggest
satisfaction:happiness,satisfied,confidence,pleasure,joy,comfort,pride,frustration,loyalty,anxiety
problem:problems,issue,trouble,difficulties,concern,issues,woes,difficulty,troubles,mess
areas:regions,area,communities,places,neighborhoods,zones,region,towns,sectors,villages
quest:pursuit,journey,struggle,hunt,desire,efforts,attempt,seeking,dreams,searching
introduction:introducing,introduced,introduce,launch,arrival,implementation,launching,inclusion,evolution,launches
adjust:adapt,adjusted,adjustment,adjustments,alter,change,changing,react,relax,evaluate
purchases:purchase,purchasing,buying,transactions,sales,sale,buy,purchased,payments,buyers
achievements:accomplishments,achievement,successes,contribution,success,contributions,excellence,dedication,achieved,progress
plaintiffs:defendants,lawsuit,lawsuits,attorneys,litigation,damages,defendant,lawyers,suit,settlement
economist:strategist,analyst,researcher,economists,scientist,professor,economics,trader,expert
purchased:bought,sold,purchase,buy,donated,purchasing,acquired,buys,shipped,sell
fund:funds,money,funding,funded,financed,investment,investments,proceeds
sworn:elected,appointed,elect,appoint,election,resigned,inauguration,resign,nominated,incumbent
enterprise:enterprises,software,computing,solutions,business,desktop
perceived:viewed,perception,regarded,portrayed,considered,characterized,labeled,apparent,obvious,implied
suffers:suffer,suffered,suffering,loses,severe,recovering,affects,dies,experiencing,receives
stunning:spectacular,remarkable,dramatic,shocking,superb,brilliant,impressive,amazing,incredible,surprising
dramatic:stunning,remarkable,spectacular,significant,shocking,sharp,notable,surprising,unexpected,extraordinary
subscription:subscriber,subscribers,download,subscribe,fee,online,publishers,monthly,content
avoiding:avoid,avoided,preventing,minimize,eliminating,reducing,prevent,ignoring,creating,removing
finds:reveals,sees,considers,proves,found,finding,find,gets,suggests,seems
matched:matching,combined,tied,topped,exceeded,followed,measured,boosted,compares,tallied
decision:decisions,recommendation,announcement,ruling,deciding,verdict,judgment,refusal,decided,move
judiciary:judicial,constitutional,courts,democratic,justice,democracy,judges,constitution
approval:approved,approve,permission,clearance,acceptance,permit,nod,consent,confirmation,endorsement
colleague:colleagues,friend,journalist,correspondent,reporter,cousin,columnist,counterpart,mate,aide
warnings:warning,warn,alert,alerts,instructions,threats,dangers,warned,notices,forecasts
able:unable,trying,can,allowed,managed,enough,ability,could,going,try
browser:desktop,apps,smartphone,server,app,interface,software
gathered:gather,gathering,marched,assembled,attended,packed,stood,lined,watched,sat
matches:match,games,tournaments,tournament,game,semifinal,opener,competitions,defeats
tackles:sacks,interceptions,linebacker,tackle,interception,steals,rebounds,touchdowns,sack,catches
teachers:educators,teacher,students,classrooms,elementary,classroom,pupils,schools,school
operators:operator,providers,owners,companies,carriers,manufacturers,vendors,suppliers,customers,managers
wish:wished,wishes,want,wanted,hope,desire,wanting,urge,prefer,hoped
van:truck,vehicle,bus,car,pickup,trailer,buses,parked,trucks
coal:mining,gas,uranium,mines,ethanol,petroleum,steel,carbon
print:printing,printed,publishing,paper,newspapers,magazines,publications,circulation,advertising,digital
resist:ignore,reject,justify,avoid,confront,oppose,deny,prevent,stop,abandon
removing:remove,removal,removed,eliminating,replacing,reducing,installing,eliminate,restoring,placing
allocation:allocated,expenditure,funding,grant,procurement,grants,funds,budget,fund,valuation
similar:identical,different,same,comparable,distinct,other,specific,unusual,separate,certain
intimate:romantic,uncomfortable,informal,revealing,emotional,affair,contemporary,beautiful,entertaining,fascinating
counseling:assistance,rehabilitation,therapy,outreach,rehab,probation,treatment,training,shelter
demonstrations:demonstration,protests,demonstrators,protest,protesters,rallies,uprising,workshops,unrest,demonstrating
movie:film,movies,films,sequel,cinema,theaters,script,actor,comedy
books:book,literature,fiction,copies,magazines,library,libraries,poetry,articles
courts:court,judicial,judge,judiciary,judges,tribunal
type:kind,types,sort,particular,characteristics,typical,specific,kinds,basically,exactly
surprise:surprising,surprises,surprised,shock,disappointment,shocking,unexpected,shocked,stunned,disappointing
youth:youths,youngsters,teenagers,young,teens,teen,kids,boys,teenage
aerospace:aviation,automotive,electronics,engineering,semiconductor,industrial,telecommunications,aircraft
exploring:explore,examining,discussing,evaluating,studying,reviewing,pursuing,considering,looking,expanding
exists:existed,exist,there,is,creates,occurs,lies,belongs,applies
alleged:allegedly,alleging,accused,suspected,allegations,allegation,claimed,accusations,arrested,indicted
eat:eating,ate,meal,cook,meals,drink,food,cooked,foods,diet
ear:ears,nose,eye,mouth,throat,neck,finger,eyes,fingers,hand
roles:role,positions,responsibilities,duties,position,character,directing,functions,acting,actors
hybrid:electric,diesel,compact,powered,vehicles,concept,conventional,efficient,models
reminds:reminded,remind,tells,reminder,encourages,explains,describes,gives,telling,urges
technique:techniques,method,methods,tactics,procedure,skill,trick,approach,skills,tool
prosecutor:prosecutors,attorney,prosecution,lawyer,judge,investigator
advances:advancing,innovations,advance,advanced,progress,breakthrough,improvements,technology,changes,successes
decides:decide,wants,refuses,asks,agrees,decided,fails,deciding,happens,loses
pressed:pressing,pushed,pushing,asked,fought,refused,push,reluctant,urged,struggled
gunman:gunmen,shootings,suspect,attackers,stabbed,stabbing,shooter,robbery,gun,man
rising:soaring,surging,rise,risen,rises,increasing,declining,falling,soared,growing
enjoying:enjoyed,enjoy,enjoys,celebrating,experiencing,seeing,happy,watching,loves,playing
revised:amended,updated,modified,revise,adjusted,changed,preliminary,finalized,approved,proposed
chronic:acute,persistent,severe,diabetes,disorder,suffering,symptoms,depression,plagued,medication
councils:council,councilors,municipalities,governments,committees,districts,departments,schools
went:came,ran,gone,drove,walked,took,flew,stayed,go,got
produces:sells,produced,produce,delivers,producing,creates,develops,operates,boasts,uses
plot:conspiracy,story,assassination,character,script,spy,scheme,characters,bomb,bombing
oversee:overseeing,oversees,coordinate,appoint,oversight,manage,appointed,monitor,executive,supervision
industrial:manufacturing,agricultural,automotive,commercial,aerospace,residential,industries,machinery
participants:attendees,participant,participating,participate,organizers,participated,contestants,participation,students
scared:afraid,worried,nervous,scary,mad,shocked,angry,anxious,confused,fear
performed:perform,performing,performs,conducted,done,staged,participated,conducting,undertaken,underwent
publishers:publisher,publishing,advertisers,editors,retailers,developers,writers,content,sellers,studios
appointments:appointment,appoint,decisions,appointed,visits,announcements,meetings,trips,office,nominees
ignored:ignoring,ignore,forgotten,unaware,rejected,dismissed,contrary,repeated,avoided,understood
bizarre:strange,weird,shocking,odd,ridiculous,unusual,disturbing,embarrassing,silly,fascinating
repeated:repeat,reiterated,echoed,repeatedly,frequent,persistent,ignored,subsequent,constant,multiple
mounting:mounted,mount,growing,rising,increasing,amid,soaring,looming,persistent,widespread
injection:dose,pumped,pump,pumping,doses,treatment,administered,pumps,liquid,mixture
fires:fire,blaze,flames,burning,burns,firefighters,burn,burned,explosions
transaction:transactions,acquisition,merger,acquisitions,sale,shareholders,deal,stockholders,shareholder,payment
bones:bone,teeth,body,legs,pieces,stone,rocks,bodies,tissue,muscle
consumption:usage,output,consumed,exports,expenditure,demand,imports,consuming,prices,production
awesome:amazing,unbelievable,fantastic,incredible,terrific,wonderful,great,nice,weird,crazy
had:have,has,was,been,having,got,were,knew
washed:wash,cleaned,swept,wiped,dumped,blown,flooded,ripped,thrown,damaged
indicating:indicate,indicates,indicated,suggesting,stating,indication,showing,showed,suggest,signaled
come:coming,go,bring,came,get,brought,gone,happen,put,comes
probe:investigation,inquiry,investigations,investigate,investigating,investigated,investigators,scandal,alleged,allegations
broad:broader,wider,diverse,comprehensive,wide,extensive,narrow,vast
displaced:refugees,homeless,evacuated,shelter,affected,floods,civilians,injured,unemployed,destroyed
remove:removed,removing,removal,eliminate,rid,install,withdraw,destroy,pull,protect
gallon:gasoline,liter,barrel,gallons,fuel,diesel,pump,gas,petrol
hat:jacket,shirt,pants,helmet,jersey,cap,boots,shirts,dress
mainly:primarily,mostly,largely,partly,solely,bulk,traditionally,generally,exclusively,particularly
inevitable:imminent,obvious,unlikely,logical,eventual,surely,painful,endless,impossible,likely
focusing:focused,focus,focuses,concentrate,concentrated,emphasis,centered,relying,emphasize,targeting
easier:harder,easy,difficult,quicker,tougher,better,cheaper,faster,safer,impossible
promising:promise,encouraging,promised,promises,hopeful,lucrative,exciting,bright,impressive,eager
lovers:fans,loving,love,romance,patrons,romantic,owners,couples,makers
update:updates,updated,revise,upgrade,upgrades,review,releases,upgraded,preview
versus:compared,vs,against,compares,comparable,loss,between,decreased,whereas
without:before,no,prevented,simply,any,instead,thereby,thus,despite
vary:differ,varied,depending,ranged,different,alter,specified,exceed,ranging,depend
complement:combine,utilize,enhance,fit,combining,blend,showcase,integrate,combination,incorporate
discovered:found,uncovered,discover,detected,spotted,noticed,discovery,revealed,alerted,realized
adjusted:adjust,adjustment,calculated,adjustments,excluding,revised,consolidated,net
contenders:contender,winners,candidates,finalists,winner,rivals,favorites,nominees,champions,candidate
meals:meal,food,lunch,breakfast,foods,dinner,eat,dishes,drinks,cook
lure:attract,persuade,attracting,convince,recruit,bring,revive,spur,attraction,attracted
trained:training,recruited,skilled,equipped,qualified,educated,trainer,taught,certified
badly:poorly,severely,desperately,heavily,clearly,seriously,well,poor,obviously,unfortunately
your:you,yourself,my,our,their
whereas:ie,although,namely,compared
destroyed:damaged,destroying,burned,destroy,shattered,devastated,destruction,damage,smashed,killed
teacher:teachers,elementary,school,student,classroom,teaching,kindergarten,pupils
claims:claim,claiming,allegations,accusations,allegation,claimed,alleging,contends,lawsuit,complaints
respect:regard,dignity,regards,sympathy,respects,appreciation,accordance,respected,trust,integrity
gauge:indicator,measuring,assess,measure,determine,index,measured,evaluate,measurement,determining
talking:talk,talked,discussing,thinking,telling,speaking,doing,spoken,know,complaining
better:stronger,quicker,worse,good,easier,harder,faster,differently,healthier,tougher
sellers:seller,buyers,brokers,selling,buyer,dealers,retailers,traders,vendors,merchants
disease:diseases,infection,cancer,infections,illness,virus,diabetes
differ:vary,varied,disagree,different,alter,affect,differences,relate,depend
terrorists:terrorist,extremists,terror,terrorism,militants,insurgents,criminals
yard:yards,touchdown,punt,interception,touchdowns,kickoff,layup
appears:seems,appeared,suggests,seemed,is,indicates,looks,proves,appear,seem
predicts:predicted,predicting,expects,warns,predict,believes,sees,anticipates,suggests,thinks
inches:inch,feet,foot,snow,mph,meters,miles,degrees,pounds
county:counties,commissioners,township,district,city,sheriff,supervisors,statewide
meters:meter,km,kilometers,kilometer,feet,m,miles,mile
minded:oriented,honest,intelligent,passionate,motivated,progressive,talented,loving,balanced,friendly
specifically:specific,particular,exclusively,primarily,directly,solely,precisely,also,originally,clearly
priorities:priority,agenda,objectives,needs,initiatives,proposals,responsibilities,issues,focus,principles
died:killed,hospitalized,dies,dead,deaths,death,die,fatal,murdered,suffered
disclosure:disclose,disclosed,transparency,reporting,filing,filings,documents,accountability,ethics,oversight
refugees:immigrants,displaced,detainees,prisoners,civilians,humanitarian,homeless,immigrant,survivors
vital:crucial,essential,important,critical,key,pivotal,valuable,necessary,importance,useful
kidnapping:kidnapped,abducted,murder,slaying,murders,rape,killings,robbery,disappearance,hostage
returns:return,returning,returned,arrives,performance,performances,stays,dividends,leaves,enters
characters:character,actors,comic,script,animated,themes,scenes,episodes,genre,sequel
gave:give,giving,gives,given,took,got,came,drew,provided
alerted:notified,contacted,alert,noticed,spotted,notify,discovered,detected,informed,advised
dies:died,die,loses,fatal,death,dead,killed,dying,becomes,suffers
speaking:spoke,speak,spoken,speaks,talking,discussing,attending,talked,addressing
renewed:renew,renewal,fresh,expires,extended,increased,strengthened,continued,continuing,intense
diet:nutrition,eating,lifestyle,calories,weight,fat,eat,foods,obesity
everywhere:wherever,everything,all,everyone,always,everybody,practically,like,anymore,nowhere
falling:fell,dropping,fallen,falls,fall,tumbled,dropped,rising,sliding,climbing
ends:begins,end,ending,ended,closes,opens,starts,goes,expires,leaves
performs:performed,perform,performing,manages,handles,delivers,works,takes,arrives,plays
advertising:ad,ads,advertisers,marketing,promotional,commercials,campaigns,promotions,print
fallen:risen,fell,falling,dropped,climbed,tumbled,slipped,plunged,slumped,dipped
covers:covering,covered,cover,includes,consists,applies,contains,extends,provides,involves
vowed:pledged,promised,urged,insisted,urging,hoped,wants,decided,warned,agreed
highlights:highlight,highlighted,shows,featured,notable,demonstrates,reveals,features,examples,presents
i:b,t,d,honestly,ie,m,you
universities:colleges,university,institutions,schools,professors,academic,faculty,hospitals,students
contribute:contributing,contributed,donate,contribution,invest,affect,lend,participate,bring,add
position:positions,stance,spot,positioning,job,role,slot,situation,roles,leadership
