100
583475538 138552 53
9528 818317051 851017604 386653288
449539671 166577 20
2251 225764725 114503410 302471271
4205 352914605 328913761 67934594
7797 34426403 413639207 48466538
1305 250702599 265683439 406253871
5495 277979687 379513531 107815455
1677 444071287 147529159 283381210
4529 316743919 136421005 307154336
8230 160478119 142350923 279224057
8065 358080844 323018164 275716068
8 158856889 343671122 173487929
9239 321214651 293219092 186517705
8038 75646509 41500972 426914405
2559 20334753 98539029 93367586
10776 121065458 350468735 324123122
869 127569146 434451644 367824384
13648 341715274 198715103 118070925
6635 49499984 109625406 103322127
5916 305314182 129047214 96041248
20535 436675933 30085042 391363322
44800 271781216 306882099 210714131
511956362 198281 88
2084 262746571 79252591 25397800
874 432484093 328228657 110678215
1175 400076145 147144233 146680365
804 291954776 67388396 296397695
1658 312420486 491686490 316843357
258 54423306 323754036 18596495
907 121819003 399551642 43240367
1346 472426516 405607703 316445904
139 385241510 107694645 289223511
2024 476134618 488907564 35387222
2303 337860547 28815813 404105801
218 244426389 70877095 373022005
419 198029805 84500275 458235991
892 103041955 201560843 277500975
1891 365164411 54507838 483535633
2171 256427720 308624208 437662266
1797 116426598 158737332 216469899
1288 320105026 126009523 361163311
1213 510841124 60777809 316544531
2111 146572203 488200621 96829603
2293 174216411 369370294 46143740
1 175525213 445148146 455593624
692 346064836 117523716 127885276
202 249683638 382677400 149030258
340 425980180 468687323 483040029
1828 181581550 147067595 106590727
789 164825995 120525766 40109588
2587 394828956 145212405 230128592
1751 358071557 439274928 329667509
1755 335151697 452709192 247425561
1121 278269520 402529660 70992035
118 11856664 504863802 152172859
1502 133388999 355889715 257422837
543 123832043 340890854 494291049
1184 418394461 149518433 132975136
2299 506599075 403764924 446119458
1572 403657804 99212532 78538459
2185 479922254 491266259 258106885
2919 503052359 96798128 11776150
2925 310149809 68140159 4384085
1554 114118886 234851993 58016140
194 343249653 176322180 286661838
247 405485444 470998878 249146475
1051 447985378 253347306 62693612
1712 299677326 273222314 94581919
527 175952957 421762526 362296704
1363 164556669 300744422 380204839
1941 352852707 305965889 407748944
1072 169064106 376003534 35943452
506 11467244 434355796 120599845
2392 440115927 286216357 183843996
868 208151754 68029789 105548223
1008 114930305 19233453 354620868
2396 9170067 95726361 2940666
1323 508284626 174938902 230529894
254 213826430 453608588 399117571
2010 495944013 159522080 55257331
1966 349206723 361856073 251426522
4028 308352238 45878780 51019423
981 24423942 506655479 341857359
3591 303169412 212852346 144069576
242 283900162 358875515 27525918
3804 114952502 203116782 476059299
2245 24072307 239216830 416323868
3615 359753100 36189424 175411937
2744 117399641 331581706 215179222
329 328904697 1986412 162903800
1427 221698804 19380277 271430358
373 288411007 441972647 277453800
4925 366160599 110922154 68446809
5051 12715904 266643264 59189622
3441 414118362 310552113 52657462
5095 482205161 203664277 207802708
1088 217104584 438760034 309132682
2122 290071386 349437529 125619509
3289 333302934 497247453 39068068
2069 407771458 295793479 472476654
3467 7960933 402092522 444963699
93 249855379 435015314 474155532
4389 420742828 344320140 83455385
2773 359106614 40714648 449765007
7054 397139093 266691503 353078243
7689 371980189 74122453 230673313
8533 137736412 191195324 381631283
1495 431522436 276283163 489341113
9877 16148777 195418582 189416737
5526 494570583 92867876 561892
20364 209505911 9235461 252528628
746751425 45224 85
244 524487645 450429616 649324476
86 441299436 510110397 116740388
147 86812444 464702042 469366962
284 127113243 522423795 655223215
61 203624944 402335584 18453976
128 674026496 605879417 211190616
184 532557276 426105319 717961191
63 527852138 642703980 235431287
249 355539311 567735684 610733628
45 363816184 145407377 161221533
294 367414350 646985155 320729918
436 79639192 419447277 672079582
234 237294346 150428496 507942323
157 487095861 539160637 419198549
14 337428800 706893072 13341450
153 215677067 263170589 424856966
278 5297501 354021309 377975552
295 574610661 391055085 27100906
379 121943784 148345188 95181765
64 286819773 22211220 502553649
629 433775132 101459889 214710083
557 495228801 693189694 394447253
72 554364907 29926881 641226387
393 578943513 302484945 708345257
118 537224616 77727458 116615408
95 169133747 191947972 460109782
669 116331226 321439854 382703660
483 387475822 619102908 240825916
458 348456247 277463423 691320778
297 232329700 30861407 592612992
399 626630366 364240743 13022000
355 70196908 722104527 1533576
313 366502722 399132759 140796539
171 351992721 175040415 289747539
379 666062323 12415083 360997281
573 515647231 523689668 399789351
131 294336403 356910191 334155041
370 248693516 467068594 127932475
175 619608548 733455274 25312271
6 481364302 645598999 530728291
294 122931737 476961746 275712166
324 253166529 546356973 114940600
196 565646642 463829010 364311631
109 579453492 276697317 419906966
764 226456597 201463738 596120295
90 251418145 184640533 468067479
67 586080914 170984547 650118544
310 353468894 412171929 505004370
846 154903160 232708860 540886815
387 30520065 464754947 302144714
772 543341740 650617959 56656839
446 611182354 117513983 378134261
212 202760469 459743329 554126661
395 432988482 91585836 602739644
425 94825568 540155668 567561758
811 351044341 696018691 595419691
695 25404287 367085550 103292667
513 255870791 118565970 71472707
882 616830984 467893171 58800071
798 343391276 647205029 364452778
694 445260576 479189386 50138711
308 84119675 713677082 334253416
111 514464386 120233939 327731788
829 327767463 620756238 492994734
573 360833223 732646208 174720799
858 329699284 692754632 110624495
613 714359316 273007399 292686908
401 540300009 309771582 243791060
1015 414680353 15921091 359544012
344 445816613 275350745 23131229
113 218062627 91219172 224302415
482 630089011 96375693 374806783
399 482886017 142991524 396417337
930 71045113 642380029 441146006
1321 445967377 242034039 360034942
583 296441319 403559644 404522345
1648 640392853 492605405 271311850
295 271951146 667916458 1309436
1513 9827852 137060209 460579645
98 33129997 567104824 213845623
772 113941741 218635347 579243723
2632 138148026 676088542 596210857
2660 80505111 742623111 363286208
3014 252538035 471485769 7165815
3244 427382724 7491289 459649869
4 4 1
4 1 1 1
667424625 35225 1
35225 3588614 1 667424615
600025401 179178 4
7609 105084395 1 19
48326 31844712 1 2
28597 193351788 1 600025393
94646 41885115 1 600025393
303685387 176187 1
176187 96115734 1 20
837497325 165058 3
23915 146831713 1 837497315
33545 505943903 1 18
107598 150921464 1 13
759640907 147133 2
56773 148752125 1 6
90360 144575027 1 18
770605875 199219 55
3600 202930763 198556819 154085714
890 425538256 40719637 351399904
2395 409857583 102583374 116075632
570 303144923 86565296 597596677
488 603624933 345088248 350054245
1334 329626231 751891830 604265131
2216 753405231 81252653 711872594
3369 650226760 556715329 501527511
2052 407352716 577697728 449072988
3386 374403011 738885314 215398665
3476 167990635 37955907 464294757
282 256035243 89534722 18440530
498 408242992 284976842 693465908
306 173108750 497718134 446777263
1374 610747090 122743756 63248681
4012 239004243 143129137 48394150
819 215564076 716266126 235469599
2053 191874829 626634631 567297443
1019 333256517 454013416 750275735
4450 555769343 98032192 507541803
579 206922144 144600674 347721135
2961 284709813 514963785 713813269
2884 324900751 58676707 543535243
4396 723768985 150318472 500688162
2602 522345245 383031677 417372849
974 181000168 604741113 118220485
3200 560659472 702202848 115040393
3275 282035991 597713226 299120477
3862 564889116 443869271 210937037
4777 434813433 289003701 22257815
152 525068404 500566907 294397041
448 460306981 215243379 755817308
2285 506318408 700722846 439190778
1166 514875817 266886557 501101289
3402 660973718 702606340 633254225
2301 25891040 473855912 528779084
4573 121601234 232090915 9699358
3806 410256142 645761275 511416833
5593 381690490 260891017 13604054
2056 605009699 278521435 509832326
6336 652503689 304244191 54283997
6173 384659071 527591245 578797968
5144 227822978 640032920 394130114
4894 230449996 382346303 518298042
1229 750229513 450881432 352279220
4466 358096849 419259715 14896
7331 243822262 371929791 276118028
4746 296132235 135231521 746468846
3561 559427205 403838360 227016787
7643 497833101 383687653 605807520
6485 338734336 736784902 676123837
10482 573390221 462630742 86932384
5988 399012973 646062142 495722291
3335 269708092 264783960 672051730
27525 101886634 579264888 723082214
463706512 5113 38
74 363978402 305105885 24094694
84 270941315 277293496 285802441
33 277942429 335415434 57349845
16 136506667 438739193 13397821
43 344174959 363480900 402237146
8 146868993 402807415 422246892
1 414173249 427743363 21778170
100 391053983 57426967 212861195
70 374574482 377481940 365455873
2 449408532 424319431 374668566
108 297946422 985282 329117992
118 181680013 270725481 29102487
150 327715401 287957535 155367794
7 367084914 424042765 217920229
96 257889654 51503868 257552614
76 96212816 457597169 332923406
172 2453270 245312344 58357064
17 8892751 267173227 443155701
55 194258874 86573723 114179551
125 83887685 295060533 351052449
102 162539283 222983093 248576898
97 287703558 436809580 14755163
188 177584163 231653246 107917597
182 307724642 257610995 462590336
72 440489532 148583254 197484112
67 456682163 288647069 96902514
80 159523630 429258052 430824133
223 332107663 301585555 83820240
246 288987529 57668986 457625805
198 342692464 358168531 79915343
181 259919592 152147048 377023756
51 208364756 144429861 135087360
145 412345178 450327440 284375805
258 433335024 448707012 417364006
269 1702071 117932132 185273119
147 282727921 381186167 218265301
86 42249801 121702483 276303205
1166 406659520 176243220 212355825
585313583 184195 40
1924 455988568 549377167 426293379
4368 578227811 519065647 525316800
553 347908357 80756499 76348000
4020 199280963 111617797 55473327
3207 189105407 69106838 524578891
2224 196582532 474688602 520962382
3376 570217579 248033676 15921877
2394 248914994 438772487 570642238
4889 327948012 449678459 508791384
363 402136690 548733120 300783605
2820 1729429 484790662 471084249
2925 420471503 2177698 182103012
3799 425727148 494971681 401333246
4886 560529915 220614505 255048672
2157 20829423 152240161 131524736
3303 131056820 241927432 181772590
1799 193966750 333359804 190463175
2065 341661341 572263099 239624354
5840 189930874 180333782 175910113
3560 97004577 186177446 235622705
5810 378670027 122887524 338550802
4868 530887763 405620693 409887285
2830 24822753 579376998 459444915
240 271780710 564557019 557724138
431 446580889 549514954 154492364
2061 395610822 417532700 101869181
7671 80770041 74618039 513848299
4802 132938511 277881437 520938610
5001 524461867 173377459 352368710
1282 340455177 94432034 261253552
5435 275718003 574992368 449730777
2606 241133163 453947837 526273509
380 521927140 106834383 503492705
3447 205668948 304958211 386374761
8101 103335618 68807894 418278615
13425 288511136 390986994 552030806
4901 114006333 54247980 493996418
8228 442983666 375373630 267337801
1171 43251297 533962826 566421978
41033 216987936 427414648 176473037
47518346 146049 3
20945 21625378 1 6
10454 9781217 1 3
114650 44005609 1 47518341
251858366 94064 1
94064 64021899 1 251858357
132620377 121284 5
21728 75454426 1 132620360
2623 60910720 1 132620368
4355 14695425 1 132620363
24451 81358506 1 10
68127 123426173 1 3
419788210 39949 5
3158 314168183 1 419788204
7041 405122183 1 3
9631 341488217 1 4
974 84312269 1 4
19145 166548034 1 419788195
82681258 75117 5
8032 64171360 1 8
15809 71608661 1 82681243
6017 30998641 1 82681251
7679 65001746 1 82681251
37580 15053123 1 82681256
894635519 92909 98
95 850843950 723955952 536286439
310 602574593 370198212 93273100
929 883735633 762182409 125458214
111 672229704 844031713 117386110
725 762546726 293165715 206598623
572 322601255 792542475 781728851
691 14660881 443444249 197510382
397 387482439 599287594 131715288
918 304669614 494062179 373061612
91 638598232 794647910 575226961
31 591016207 400904932 648077503
154 517432593 435790428 681968362
899 876735660 328671535 304878028
296 540792550 181811384 787946162
400 233177788 742712850 747071638
387 860434157 354211542 298247163
712 390005806 136327355 138128053
424 48893727 568817396 574230099
722 109809553 668041676 832297232
847 634573147 19469476 549914322
259 122559751 443174851 120562493
1076 128944459 428550231 320441121
946 795553601 865972949 501505878
624 560006257 238670832 9150374
66 711457206 613234302 418986568
453 235143775 467780190 229284778
951 86524508 609634538 221563995
106 549435128 683753184 417974411
160 301540231 875792854 456862659
794 342488492 747663184 188207733
891 501028773 316998378 422844238
595 13815228 576296217 352429784
1136 615466657 321284149 19690366
865 690541815 789687970 616507997
343 802725954 866367754 311089826
203 380545052 725219586 374761935
682 133055146 512081549 220127472
657 728188998 428594544 702008728
372 54709818 23620317 731490118
143 839296362 808260944 438265868
592 647618224 326387761 369048023
962 520394390 737659608 294516803
1040 266717632 443478464 748860950
375 285209010 34791520 659020765
1098 759780146 391821506 580859155
301 630424549 612628291 276550995
1098 4935490 496798810 769059004
922 61349376 500968371 815284134
12 566125243 405311547 372070349
1022 493551245 277747422 632826185
340 699099379 816600161 24804949
74 333879918 747554242 329613230
894 258686764 638040875 695631664
1030 391321314 514255862 484040288
1186 371818392 415730855 700135673
479 768059181 886688986 385823653
590 317768711 591491203 368488646
70 825155936 24903390 367516606
92 329150960 398663812 757426627
207 504588297 162968909 773524500
1170 276347278 672361738 717819006
1333 78474359 445644273 720106136
714 363705328 299537323 184698702
461 880857158 67315608 366194790
993 425499129 325535683 548302000
304 561668047 674626004 824039512
1142 574081730 99446600 892391191
1625 640452893 867529656 77130771
1120 785888587 489389689 652104063
1004 844367939 761640713 23723137
765 815152546 389162836 56580934
1024 499605427 689162009 279089738
695 627344914 495860604 630017960
4 867780194 590320639 570248989
1782 43491845 581080984 9924902
1330 462677239 407338385 856878133
38 662099167 570416716 657007612
333 798581532 536616117 310401529
1689 245363000 388726409 644092728
1471 449160402 783928806 300364779
1102 107253766 279845584 213513636
1559 668792829 854780760 28938614
511 81245438 250655285 521809331
615 572874467 263766509 785282407
716 457873016 478620441 875474986
1322 258315794 159323915 467793546
2326 299870926 845593890 651881936
2235 480358967 760753737 729538695
2953 447193097 250368329 497591033
2496 251909563 145944384 246730583
1984 398644397 516439852 3357941
1884 463781855 465763393 395915075
1845 131056409 868909355 814707819
1965 678071717 628851024 657754139
2714 826937149 670107098 781148412
2653 271422075 262637653 765208178
690 223901809 262333591 710298786
10925 373514688 587547980 254399719
174069237 104443 1
104443 146381466 1 20
470208446 158284 64
2092 355604190 161857867 277188662
2388 42649943 196614424 381131662
537 81171402 243900452 246890867
495 101795695 367732226 243783403
125 160845044 445851866 417434359
1377 269783309 169003135 234788988
796 210028450 207925618 119176616
789 257909271 438822698 8696671
422 341052737 257526775 302329180
1496 349866514 322330041 147795029
87 193826716 447501393 136608139
1675 388989823 122149783 23245836
354 61092870 193621090 61269274
659 232204822 16739986 329578811
2756 435547810 373456144 365672550
1458 50191823 271737507 206368019
685 310141073 363836684 130258091
1197 463615874 262269817 310601101
2156 463895479 393418406 13007746
672 102320267 325101726 185364081
2116 37467921 221108053 74691644
338 226856174 109013288 251725187
985 201468524 130364426 288218193
123 70656425 47715760 468284243
1835 262519932 113818103 46144132
2422 151684800 314259879 317491747
2550 26526290 319902838 153120959
760 104386585 93034525 78952057
3361 284144397 285185385 466780158
3172 234443802 67261928 342999883
884 345075987 52218519 371395953
3263 298928954 194268154 8497366
3014 267019937 119625428 436498424
2284 99368927 200152845 440160798
1082 100950698 300511475 97642310
1388 40940573 272468965 315776629
1987 397390347 86828863 244964052
843 455871472 16451419 116025839
2772 220803451 321741178 11739999
1951 381211730 383643207 400555041
1287 45353642 263325121 4121688
350 100403765 154889555 380995524
1434 135356549 38650993 226533039
3361 432393067 228180433 463850605
4176 419068456 404526207 193481196
1537 144714128 170291595 92416354
3685 227655059 127516079 367531341
1028 386605428 369480277 357678936
5005 336811673 459430361 44449164
4520 443972251 234579200 388868824
471 230990866 190536732 135301631
1905 212871443 304074790 270326964
3457 151666574 437787110 11447073
2061 84075170 156272445 218655674
4777 47595180 429822171 52112089
5236 324369211 321534143 284707267
298 273446408 70838183 220134477
5100 10905798 140271513 398713692
2239 19853497 76544603 341681141
9016 295687601 137032407 5855073
8721 284564662 122004012 107270235
8048 428061588 279489277 72521831
8930 239892352 44881335 46513132
12296 262529992 112351798 249855872
517501236 125166 4
29521 146394973 1 19
9867 300211273 1 10
38212 342309353 1 517501224
47566 164983527 1 4
868962287 92794 7
558 559231157 192581035 453073536
7414 849765354 351212461 868623578
13196 396952760 322188947 242305577
7430 741462041 307756007 91233246
8316 161057479 629663960 101714790
396 347910064 487221530 297818569
55484 332219069 453665799 140582484
217030494 20348 1
20348 76321382 1 17
998760990 67218 99
59 146277926 167674370 522811313
30 227746308 395152933 405314321
392 295178046 547029617 214489629
3 943655059 265513794 723930045
203 114344005 984437346 673620770
426 293427616 751837111 852708662
58 468283918 701708387 729496751
202 535340755 412513721 173837030
393 742762932 247571488 186095444
107 412920786 951445349 243066284
361 575497873 263474759 12577690
677 680735244 855989527 443166771
408 708945866 487500446 439709144
699 270100620 922634880 640255838
14 399848028 403458638 138368844
489 433394750 109390258 123820943
106 969944706 427880495 988995690
666 263373101 588262914 745561863
164 582557719 51537203 249481613
134 502312495 366907046 235772747
665 609086613 221485164 230815734
508 597775269 718053178 949365550
630 902875332 316513014 987860448
79 305734793 657127421 580317707
300 134210542 161245907 726522496
689 866562111 75562241 308834991
271 804376795 668898402 642163534
719 392694385 292680789 642072341
33 415919972 341934624 753885465
154 366794136 66958083 598297475
357 593464862 341656763 304014429
154 315100763 125222832 523309273
799 560227145 802828990 281631006
330 865725379 662637923 471709362
511 991825963 848704295 874132889
463 37834298 165080269 680668398
194 967672603 522648499 435670559
684 129420808 735653524 701344978
709 942249524 171199489 207830135
336 770358849 699637888 416591622
287 735638129 461424783 468238683
415 460876110 71370830 868926779
389 208630990 612363876 923680231
546 744113214 324416642 92063481
210 615263884 103123370 350868922
193 580150558 653341669 250535388
896 418347998 759391443 616288633
377 132588718 851952178 877457406
524 822551212 819875042 197982963
755 302234749 48075293 704038131
217 448150344 889290917 551689472
506 768834021 382115496 204646917
472 903006659 349539755 729827436
813 436842795 179180013 781723886
305 977567092 871068744 300390144
666 771209249 273666539 538958498
414 527820871 28433110 363666125
221 438463513 86217396 769332074
221 58323323 654263804 912477261
168 913864891 334546018 400132787
41 136767863 521050725 425126277
1002 342109752 368313007 237243124
265 184019067 348953402 92091542
271 515487793 744550992 362324741
1201 706265044 651507869 453131791
583 296277764 977718717 956921966
1115 292982798 563935037 793419433
595 865263567 43266466 216794932
792 723830030 160974329 109240830
797 705770920 90272482 422988538
997 727126946 703872076 237130716
1267 10733852 284372513 535469235
763 953058240 731227332 976429312
271 96282285 817648467 514788297
997 283985929 680247890 907565334
545 601471880 437687976 761817592
673 442378421 443348305 235722086
320 503870867 846543186 670391229
1408 155570048 598004977 746554926
195 666816942 15071271 558521610
360 881243994 836837428 951671784
1659 471844785 90410245 596192283
1406 329397396 595644671 160699879
1376 767910760 54978164 111897464
1609 56650376 634718446 579556725
467 304087899 552316569 92167630
1307 506079905 155507400 67619215
902 660152207 152222770 70301408
1500 104183962 504023354 746484004
1774 87569104 628046893 530782014
570 654281361 49136593 444347941
714 147102549 955193238 134012347
65 374663832 190138139 398136962
2438 18647776 827142857 557173228
97 947560672 184875933 183734692
2969 675553871 919502570 20494079
1807 783200440 691797992 521946669
1160 911734205 136374917 402585316
8169 621230237 262129249 389739085
525230490 186685 3
20266 309225433 1 525230477
80727 152275674 1 525230488
85692 488098521 1 2
475699365 43054 4
10501 240358671 1 19
4715 313545155 1 475699354
7962 10543708 1 5
19876 167391783 1 6
762350966 147365 5
5675 753315367 1 17
5157 153836489 1 762350957
23255 356145195 1 2
32928 311571623 1 20
80350 618949962 1 762350961
152188516 128900 1
128900 28603539 1 152188512
636293964 15703 4
2270 588523200 1 1
1350 593107126 1 636293953
4996 270968976 1 11
7087 497829072 1 9
312889643 4497 11
34 244855722 274290022 293337782
213 24989724 241947306 160317416
121 93751069 163978873 122812773
356 56256578 309325602 154675407
311 142272693 25986132 88938086
312 179826097 120786045 82667525
565 122780221 199122521 166579798
630 146136228 113132625 219646196
465 193517372 73488530 269670151
185 31478552 101235549 17375155
1305 5685051 52569289 236695509
877689892 123304 53
1814 361170641 234214512 346277383
486 186640070 562474471 730692340
1873 416554033 875527008 102732295
1960 25346638 84031237 657065921
1504 780622614 570034126 515541672
319 804873360 101436294 385200018
1886 374381366 364805536 330819929
143 627584790 721058609 468968901
1072 462537308 335949401 838633933
385 491093055 167101892 319342463
2524 834539169 795208972 335208200
1806 815978619 267556220 204838985
1722 454099009 192005541 636216501
1635 8677295 818246670 86878776
1724 664142781 868739209 523080940
2385 382822587 505197957 170298331
2175 167846583 511041642 13320204
1413 668562997 38615925 605325513
2365 591993106 767648809 449179756
1639 428995328 357315781 441270710
2018 349829849 617969524 616594541
1298 763422251 527573151 39756129
1650 727544841 875934445 682317334
1542 613754919 285290794 665796825
330 179664716 594260010 754709975
1224 805275759 335649179 569278180
899 58411879 688245361 620089776
677 556259681 137831454 644684423
1443 129772648 745542819 514947413
2505 563127262 333733832 328608413
2800 34081318 392934371 670750055
2573 69703231 523730364 605695460
1642 396152694 712346365 464480389
1974 336515880 799453362 704602707
2938 382779628 423407545 92821655
1278 337472028 867713821 766394060
2089 536875840 210381054 781805790
676 445228471 44272390 834919580
3093 55710935 758683063 735327092
769 583295982 563389136 29725583
557 666724170 577220131 555774337
2854 762281282 420667718 763547364
1277 169045922 333846379 818509829
816 79385774 90988581 492074702
5650 642940481 217311389 262752382
5055 419561489 303554174 59947012
2815 237169717 280620295 602327780
5676 47077743 202480815 284175066
3469 73246722 77027484 633077828
1729 401475080 800077101 486242808
6133 844465525 134691288 611345552
10582 7374035 601350581 11726644
12443 97020746 606204420 315580535
1000000000 200000 2
100000 1337 1 7175
100000 717501337 1 999992825
714473309 36536 85
133 272681643 148029336 562062327
53 207038765 459913847 318397231
375 551716210 320873604 558037983
369 10690179 445827238 388507716
90 639682838 252150857 572420227
178 384861054 171638766 555069553
266 510324849 508035905 512764763
327 54289575 3239528 30429451
421 576258388 4407358 603466052
395 305181240 195699853 639758596
184 20628202 184416657 172493444
42 466238412 135210977 673387269
25 496620319 609845381 655585602
215 434769799 623026379 116824369
55 505908802 579531325 292710392
229 167853421 558718431 330836430
103 780200 619525313 136510971
365 701627956 473599455 490749576
150 389035958 626705996 629608407
276 164189204 619042199 600497731
292 434033295 49692532 224605149
61 600834620 358128748 284686299
316 237415073 118537560 514179378
126 285600851 332640827 480276267
186 495434863 255259593 567482994
77 122613894 146156191 512017729
282 182810990 683547961 662046384
474 571347098 620399058 600209061
202 217714029 535274482 631062666
281 271587040 428818268 485815519
230 642092358 666280943 181086575
226 395745014 356343084 586764676
386 554308269 11806041 207528359
68 412770837 149068764 245075325
398 579715398 52372187 244322647
458 308301694 69184528 11439213
358 692430740 354638963 541560975
538 235636367 318227535 615234136
70 430741318 351007458 118830933
455 632036593 274365760 272451587
389 6347417 382517807 171220649
406 330246069 709163790 312486612
413 683661689 229346580 247496848
35 149498901 216357448 342663396
440 694721288 645655874 187008159
221 217579990 681270225 146571651
394 694436623 104138697 597372767
216 666834093 557147709 577509292
391 456744229 83236429 483919496
402 353702439 548982577 462993652
423 627518309 313959690 42584576
76 331480971 297426607 689961365
386 241943092 374188572 664724866
204 131905632 49030951 58624780
512 631776857 71325531 309985289
724 575721925 387162394 7194744
132 350699308 365150464 348437220
671 247588782 676008586 311746255
392 579516536 713049737 646091369
569 539317594 486095019 82749098
714 248564674 223066629 73460348
41 327502725 210778352 138749630
664 494662182 132342249 675888959
653 622223173 163635815 207205719
376 18709917 138064623 43942625
38 527068427 182137508 248565245
13 372514155 67099527 82224313
339 141686653 690821379 625247783
654 647315872 686233252 395259990
514 569171206 578852628 535078582
964 647785557 675396855 83242057
733 366576514 460199545 25787437
204 625700877 157690440 574231584
533 241393425 159517328 19678047
118 82874614 108487794 713422135
1172 381545265 599581304 320748438
130 79530083 463440967 493141954
1423 157223074 496384380 138898480
23 7763962 339612477 621065780
1599 291356696 563238695 633079661
596 224905233 211468333 641076307
86 69628585 389868996 331317101
1711 497411025 141193843 246392979
666 316107416 605432435 331626252
5441 396222603 516077224 590417250
781870485 27754 5
4440 433715716 1 781870483
5229 46390606 1 781870481
84 500400852 1 781870473
172 120073851 1 781870471
17829 719547478 1 10
161999166 187920 5
23608 53307673 1 6
3328 106700575 1 8
21558 32986730 1 161999157
52328 18943649 1 9
87098 38050951 1 161999156
181633116 90353 66
1106 160482674 24407785 102048623
875 159562730 124427192 102786714
811 99106474 34845422 150199077
771 174200014 6224181 89361374
638 135489608 153405488 98777004
1264 23578395 133629660 118069990
470 77568444 113455555 141728890
291 43196261 54748918 165350965
1418 176813434 112515602 100368829
37 139051820 41975905 107430504
1331 73822887 147365373 30458370
806 92967526 81471221 13652293
336 54283489 35889390 39986224
1376 112683056 118670900 65464206
445 44250180 13810186 132917196
1312 94581767 105614158 40249898
265 11212792 101369704 145397122
446 67525717 75984232 120779670
795 47610704 24361572 56635451
677 49180875 35192852 101828682
1365 173837375 143496337 170142392
660 156928454 78741795 88240381
148 3587120 33446830 179744067
1100 59218805 143923400 173793594
388 156606669 171943770 99881813
345 18437845 121315862 21303874
1259 77890757 129313771 147955967
748 160193916 37767437 40666097
542 738500 68359735 31907717
1537 18984839 8836493 139241703
189 141621379 32767223 75863268
1235 137037794 112809770 155428824
591 134004397 146208033 174010987
276 145609454 18455041 63634683
545 39621834 130143791 62814407
419 84007620 168210394 152621851
170 123200636 70234686 38779449
164 138626629 81871548 72484743
1415 21268905 37261246 60132489
1287 166003228 165244703 14966761
1186 123145848 76309969 58464913
1059 58519200 8707225 41475621
204 20217761 53098428 15723805
925 17345224 125216376 129675224
1668 152174197 116965483 100553780
1990 133573165 66228668 24181624
1574 16900597 77113720 47663138
295 44707269 84747360 1299877
1883 68539536 69932847 56156545
2354 62028140 148710443 116671787
555 24421707 28658506 156118416
2890 49774140 31103069 103683440
46 104639208 121281682 173173592
716 169902743 176397015 30849838
3197 133584693 110237830 89902623
567 177822707 148929289 165514362
2909 96288061 27134495 136349904
3141 4975401 9770692 32229186
3173 175936703 37539257 27847251
958 22071931 119828830 158793892
124 152377106 39593502 135397733
1784 177844700 95111710 37028665
1875 122045037 36948177 27986727
7845 125557132 70846670 3065484
3240 174211047 130077149 113470171
14342 107503920 168137829 135847853
652146359 78435 3
1397 294583430 1 3
16106 495810545 1 652146346
60932 109108888 1 12
152460426 113103 4
23966 91448754 1 152460410
3645 138052223 1 152460415
36627 49726002 1 152460419
48865 57022000 1 152460420
429451145 59250 98
344 37044464 176309639 373717464
61 363946535 13788920 422360614
66 265430707 308846204 239995025
611 68422582 58926025 141789500
404 241084631 4434721 213811680
207 398362811 16063297 337418030
471 293947091 123134860 120699163
54 38283946 290254272 108025545
191 239934633 23051122 330141990
185 234402770 283807812 143566602
485 351505693 389385653 135236242
620 413756937 234505570 392674436
452 210300947 106288528 105727215
327 49186204 380039923 144862545
177 90614506 270282224 115982028
413 154898886 172363463 90409158
610 335841125 240296484 203720459
96 309381397 374238173 263577753
514 362245821 26436310 226594008
16 57928890 116741424 392824628
197 277138642 405092272 306814280
543 403303647 136974483 117097257
252 345502658 217205247 205302004
286 116246464 337036261 147266949
162 290785630 167223947 90727037
511 51747876 375450534 282925087
110 195720969 144933468 59436191
593 2275452 216933599 284416759
250 173316610 407556254 113418560
48 338688864 237887238 162318257
550 293770766 381933093 232282815
451 426728014 426591959 118733018
622 44188408 262739377 250226983
28 35496732 167535731 417306663
645 298379188 159381371 216232227
400 238615555 171474372 427027434
658 216379461 87056998 299939529
96 165928596 321033126 26100470
345 35356796 249684206 293335145
96 126673436 293395408 391227064
9 93918265 287885443 186494589
272 241058017 12697336 7211998
430 61855433 188839415 7155073
196 264319164 339706554 86406737
295 428920696 184169923 288664089
636 191526982 308592921 207300836
458 285671302 262119326 408900111
834 397399437 158613164 112462884
786 67885316 273989045 405044508
473 227409326 417379338 133430079
246 274058445 311942643 33780619
185 243982986 363701462 383187167
685 334173495 245578771 247889075
665 409723971 91710107 311715926
748 279775889 428016344 21340379
408 325573061 417699744 199616305
447 223030021 198698547 182478782
150 115456951 191754812 340754863
775 390994293 87512645 393710655
397 25026745 57070202 112981193
206 67017470 204308528 173144595
719 249997638 96787454 212431041
583 50363986 160615273 111937051
247 81855129 17276670 189078573
960 74687855 300047713 157658849
239 13297217 220261146 423285666
499 293914707 269072327 320860711
706 87565702 263448164 120925619
922 10222545 127102471 28227029
785 312210747 370492184 366412097
371 427951659 421757133 421027458
226 126644396 62062364 307908602
723 383029320 96813946 77790951
345 249328031 277222169 185264612
273 302811236 61216437 340396969
314 348203732 31468879 118163424
494 29899716 64778419 304486150
225 292152999 116113820 214282265
